employee_id,name,cost_centre,week,day,minutes,rate_cents
E-1001,Alma Reig,CC-DEPOT-N,2026-W37,Mon,485,2450
E-1001,Alma Reig,CC-DEPOT-N,2026-W37,Tue,495,2450
E-1001,Alma Reig,CC-DEPOT-N,2026-W37,Wed,505,2450
E-1001,Alma Reig,CC-DEPOT-N,2026-W37,Thu,475,2450
E-1001,Alma Reig,CC-DEPOT-N,2026-W37,Fri,515,2450
E-1001,Alma Reig,CC-DEPOT-N,2026-W38,Mon,545,2450
E-1001,Alma Reig,CC-DEPOT-N,2026-W38,Tue,535,2450
E-1001,Alma Reig,CC-DEPOT-N,2026-W38,Wed,525,2450
E-1001,Alma Reig,CC-DEPOT-N,2026-W38,Thu,555,2450
E-1001,Alma Reig,CC-DEPOT-N,2026-W38,Fri,565,2450
E-1002,Boris Tak,CC-DEPOT-N,2026-W37,Mon,480,2100
E-1002,Boris Tak,CC-DEPOT-N,2026-W37,Tue,470,2100
E-1002,Boris Tak,CC-DEPOT-N,2026-W37,Wed,490,2100
E-1002,Boris Tak,CC-DEPOT-N,2026-W37,Thu,460,2100
E-1002,Boris Tak,CC-DEPOT-N,2026-W37,Fri,500,2100
E-1002,Boris Tak,CC-DEPOT-N,2026-W38,Mon,515,2100
E-1002,Boris Tak,CC-DEPOT-N,2026-W38,Tue,525,2100
E-1002,Boris Tak,CC-DEPOT-N,2026-W38,Wed,535,2100
E-1002,Boris Tak,CC-DEPOT-N,2026-W38,Thu,505,2100
E-1002,Boris Tak,CC-DEPOT-N,2026-W38,Fri,495,2100
E-1003,Cleo Vance,CC-ADMIN,2026-W37,Mon,445,3200
E-1003,Cleo Vance,CC-ADMIN,2026-W37,Tue,455,3200
E-1003,Cleo Vance,CC-ADMIN,2026-W37,Wed,465,3200
E-1003,Cleo Vance,CC-ADMIN,2026-W37,Thu,435,3200
E-1003,Cleo Vance,CC-ADMIN,2026-W37,Fri,475,3200
E-1003,Cleo Vance,CC-ADMIN,2026-W38,Mon,480,3200
E-1003,Cleo Vance,CC-ADMIN,2026-W38,Tue,490,3200
E-1003,Cleo Vance,CC-ADMIN,2026-W38,Wed,470,3200
E-1003,Cleo Vance,CC-ADMIN,2026-W38,Thu,500,3200
E-1003,Cleo Vance,CC-ADMIN,2026-W38,Fri,460,3200
E-1004,Dov Harel,CC-DEPOT-S,2026-W37,Mon,525,2250
E-1004,Dov Harel,CC-DEPOT-S,2026-W37,Tue,535,2250
E-1004,Dov Harel,CC-DEPOT-S,2026-W37,Wed,545,2250
E-1004,Dov Harel,CC-DEPOT-S,2026-W37,Thu,555,2250
E-1004,Dov Harel,CC-DEPOT-S,2026-W37,Fri,565,2250
E-1004,Dov Harel,CC-DEPOT-S,2026-W38,Mon,455,2250
E-1004,Dov Harel,CC-DEPOT-S,2026-W38,Tue,465,2250
E-1004,Dov Harel,CC-DEPOT-S,2026-W38,Wed,445,2250
E-1004,Dov Harel,CC-DEPOT-S,2026-W38,Thu,475,2250
E-1004,Dov Harel,CC-DEPOT-S,2026-W38,Fri,435,2250
E-1005,Elif Sarac,,2026-W37,Mon,480,2100
E-1005,Elif Sarac,,2026-W37,Tue,480,2100
E-1005,Elif Sarac,,2026-W37,Wed,480,2100
E-1005,Elif Sarac,,2026-W37,Thu,480,2100
E-1005,Elif Sarac,,2026-W37,Fri,480,2100
E-1005,Elif Sarac,,2026-W38,Mon,490,2100
E-1005,Elif Sarac,,2026-W38,Tue,490,2100
E-1005,Elif Sarac,,2026-W38,Wed,490,2100
E-1005,Elif Sarac,,2026-W38,Thu,490,2100
E-1005,Elif Sarac,,2026-W38,Fri,490,2100
